"climbRate","Sgz","'p'","'q'","curPitch","curRoll","absRoll","diffClb"
"190","-8","0.2","0.22","0.53","-0.9","-20","-4"
"11","-1","0.37","0.36","0.76","0.3","-19","-16"
"-88","-2","0.33","0.3","0.86","0.5","-18","-17"
"-211","-13","-0.08","0.1","0.88","0.9","-18","4"
"-134","-20","-0.24","0.13","0.81","0.4","-19","2"
"95","-23","0.03","0.08","0.55","-0.2","-19","9"
"215","-8","0.02","0.17","0.47","0.3","-19","-2"
"-40","17","-0.06","0.21","0.71","-0.6","-19","-4"
"-60","13","0.1","0.16","0.7","-0.6","-20","5"
"-65","12","0.09","0.23","0.75","-0.2","-19","-10"
"-119","4","-0.38","0.13","0.75","-0.8","-20","4"
"-44","2","-0.49","0.11","0.67","-1.5","-20","5"
"250","6","0.24","0.08","0.35","-1.9","-21","13"
"445","32","0.65","0.49","0.27","0.4","-19","-10"
"-496","19","-0.3","0.19","1.12","1.7","-17","-6"
"-599","-4","-0.48","0.06","1.17","0.6","-18","5"
"-474","-24","-0.2","-0.02","1.03","-0.3","-19","11"
"-389","-29","-0.08","0.06","0.94","-0.4","-19","14"
"206","-34","0.28","0.03","0.37","0.4","-19","13"
"470","-21","0.2","0.14","0.16","1","-18","5"
"477","-19","0.18","0.11","0.16","1","-18","3"
"361","21","-0.18","0.26","0.33","1","-18","-13"
"-119","28","-0.45","0.3","0.78","-0.2","-19","-14"
"-145","12","0.12","0.16","0.73","-1.6","-20","4"
"-149","10","0.32","0.2","0.76","-1.4","-20","-4"
"-264","-23","-0.02","0.13","0.84","0.5","-18","3"
"-238","-27","-0.11","0.13","0.81","0.5","-19","3"
"172","-32","0.3","0.08","0.39","0.2","-19","14"
"313","-25","0.61","0.34","0.33","1.1","-18","-2"
"-14","-17","0.18","0.25","0.66","2.3","-17","-15"
"-260","-21","-0.2","0.15","0.88","2.3","-17","-14"
"-183","-32","-0.17","0.05","0.71","1.7","-17","12"
"-9","-35","-0.22","0.14","0.6","1.3","-18","-1"
"651","11","0.12","0.1","-0.06","-0.5","-19","7"
"160","43","0.09","0.34","0.51","0.2","-19","-21"
"-309","33","0.11","0.21","0.89","0.5","-19","-7"
"-380","21","0.01","0.27","0.98","0.7","-18","-14"
"-525","10","-0.24","0.25","1.1","0.5","-19","-11"
"-505","-19","-0.26","0.12","1.02","-0.5","-19","6"
"-311","-37","0.07","0.09","0.82","-0.9","-20","10"
"-254","-40","0.18","0.09","0.77","-0.8","-20","9"
"66","-44","0.38","0.05","0.47","0.4","-19","9"
"275","-36","0.09","0.08","0.29","1.1","-18","6"
"350","-30","-0.13","0.08","0.22","1","-18","6"
"315","-18","-0.34","0.18","0.29","0.6","-18","-4"
"9","-7","-0.3","0.3","0.62","-0.7","-20","-14"
"-177","-9","-0.21","0.3","0.78","-1.1","-20","-14"
"-282","-16","0.13","0.21","0.84","-1.2","-20","-6"
"-264","-24","0.44","0.19","0.81","-0.7","-20","2"
"-282","-29","0.46","0.17","0.83","-0.2","-19","-3"
"-292","-34","0.41","0.1","0.82","0.4","-19","2"
"-211","-40","0.34","0.08","0.72","0.9","-18","10"
"-83","-45","0.03","-0.02","0.59","1.2","-18","12"
"251","-25","-0.12","0.14","0.33","0.5","-19","1"
"218","-11","0.01","0.19","0.37","0.2","-19","-4"
"-219","-7","-0.21","0.28","0.81","0.1","-19","-14"
"-395","-14","-0.36","0.28","0.97","-0.4","-19","-13"
"-415","-34","-0.12","0.17","0.94","-1.3","-20","1"
"-397","-43","0.21","0.02","0.9","-1.2","-20","2"
"-177","-50","0.52","0.03","0.65","-0.8","-20","19"
"72","-51","0.63","-0.04","0.41","0.1","-19","20"
"340","-42","0.31","0.05","0.21","1.3","-18","8"
"408","-37","0.15","0.06","0.15","1.5","-17","9"
"369","-16","-0.53","0.26","0.28","0.8","-18","-16"
"-113","-7","0.18","0.24","0.69","-0.8","-20","-8"
"-156","-8","0.27","0.24","0.73","-0.6","-20","-8"
"-213","-13","0.39","0.22","0.77","0","-19","-6"
"-227","-17","0.31","0.16","0.76","0.4","-19","1"
"-128","-25","0.06","0.11","0.66","0.9","-18","3"
"-89","-27","-0.16","0.11","0.62","0.9","-18","3"
"-93","-28","-0.19","0.21","0.66","0.7","-18","-6"
"-131","-30","-0.12","0.06","0.66","0.6","-18","1"
"191","-29","0.28","0.07","0.35","1.2","-18","7"
"234","-27","0.3","0.07","0.31","1.4","-18","7"
"-198","-4","-0.28","0.25","0.78","1.7","-17","-14"
"-401","-14","-0.35","-0.08","0.89","1.1","-18","2"
"-11","-30","-0.02","0.08","0.53","0.1","-19","8"
"228","-22","-0.12","0.11","0.33","0.2","-19","4"
"298","-10","-0.3","0.15","0.29","-0.5","-19","-1"
"229","14","0.04","0.21","0.36","-1.4","-20","-3"
"-130","22","-0.06","0.23","0.7","-0.8","-20","-7"
"-262","13","-0.02","0.21","0.81","-1","-20","-5"
"-269","-4","0.24","0.14","0.79","-0.7","-20","3"
"-330","-19","0.19","0.11","0.86","0.4","-19","-4"
"-319","-32","-0.06","0.11","0.82","0.6","-18","5"
"-148","-44","-0.08","-0.04","0.62","0","-19","15"
"151","-43","0.25","0.05","0.36","0.2","-19","15"
"251","-41","0.27","0.03","0.28","0.4","-19","12"
"350","-37","0.28","0.11","0.19","0.7","-18","12"
"422","-27","0.15","0.13","0.16","1","-18","2"
"366","-10","-0.37","0.21","0.26","0.7","-18","-13"
"258","-4","-0.56","0.24","0.36","0.2","-19","-10"
"150","1","-0.66","0.24","0.45","-0.8","-20","-8"
"111","3","-0.58","0.21","0.47","-1.3","-20","-4"
"-80","4","0.02","0.24","0.65","-2.3","-21","-5"
"-124","2","0.3","0.24","0.69","-2.1","-21","-6"
"-279","-7","0.5","0.26","0.86","-0.7","-20","-15"
"-362","-24","0.3","0.1","0.83","0.3","-19","14"
"-187","-32","0.25","0.13","0.68","0.8","-18","11"
"-158","-35","-0.09","0.12","0.68","0.9","-18","3"
"505","-27","0.22","-0.06","0.01","0.7","-18","20"
"711","-8","0.4","0.16","-0.13","1.3","-18","8"
"519","28","-0.06","0.23","0.12","2","-17","-11"
"28","45","-0.35","0.32","0.6","1.1","-18","-20"
"-518","14","-0.03","0.12","1.03","-0.3","-19","-5"
"-382","-2","0.07","0.12","0.88","-0.2","-19","5"
"-126","-19","-0.27","0.07","0.63","-0.4","-19","9"
"247","-14","-0.09","0.1","0.3","-1.6","-20","9"
"-124","0","0.28","0.27","0.71","-0.8","-20","-12"
"-104","-41","-0.29","0.07","0.61","-0.5","-19","10"
"268","-35","-0.06","0.1","0.28","-1.5","-20","9"
"431","1","0.33","0.16","0.16","-0.5","-19","1"
"61","17","-0.16","0.32","0.56","0.3","-19","-19"
"-186","16","-0.55","0.32","0.79","-0.3","-19","-18"
"-260","13","-0.62","0.11","0.78","-0.8","-20","1"
"-231","8","-0.48","0.02","0.73","-1.5","-20","6"
"-45","2","0.23","0.13","0.57","-1.8","-21","6"
"64","3","0.57","0.35","0.52","-0.9","-20","-3"
"-54","3","0.35","0.24","0.63","-0.4","-19","-9"
"324","1","0.33","0.03","0.2","0.3","-19","13"
"471","11","0.46","0.21","0.13","0.9","-18","-1"
"399","17","0.24","0.28","0.24","1.2","-18","-16"
"256","22","-0.18","0.29","0.37","1.2","-18","-15"
"114","25","-0.48","0.2","0.48","0.8","-18","-13"
"-62","26","-0.53","0.26","0.66","0.1","-19","-15"
"-311","19","-0.34","0.32","0.88","-1","-20","-11"
"-468","12","-0.03","0.29","1.03","-1.2","-20","-13"
"-324","-8","0.36","0.18","0.84","-0.6","-19","2"
"326","-33","-0.28","0.04","0.44","0","-8","-6"
"39","-2","0.35","0.12","0.74","0.3","-8","-10"
"-57","-2","0.39","0.12","0.84","0.7","-7","-11"
"-111","-51","-0.25","-0.01","0.81","1.6","-6","2"
"10","-55","-0.05","-0.01","0.68","0.7","-7","2"
"-19","-51","0.08","0.04","0.71","1.3","-7","-3"
"-23","-51","0.08","0.04","0.71","1.3","-7","-3"
"206","-34","0.21","0","0.43","0.6","-7","2"
"101","-11","-0.39","0.05","0.54","0.1","-8","-4"
"79","-10","-0.44","0.05","0.56","-0.3","-8","-4"
"33","-7","-0.28","0.04","0.59","-1.6","-10","-1"
"17","-5","0.22","0.04","0.6","-1.8","-10","-2"
"12","-5","0.28","0.05","0.61","-1.6","-10","-2"
"-51","-6","0.34","0.06","0.67","-0.7","-9","-5"
"199","4","-0.35","0.04","0.41","-0.7","-9","-2"
"164","16","-0.21","0.24","0.49","-2","-10","-10"
"-435","3","0.41","-0.05","1.01","-1.5","-9","-8"
"-420","-8","0.49","0.03","0.98","-0.8","-9","-2"
"-266","-34","0.27","-0.15","0.79","0.9","-7","9"
"776","1","-0.38","0.05","-0.19","0.5","-7","11"
"669","30","-0.48","0.07","-0.04","-0.7","-9","-6"
"404","53","-0.39","0.19","0.27","-1.7","-10","-19"
"13","61","-0.14","0.26","0.66","-2.3","-10","-25"
"-533","48","0.2","0.2","1.13","-2.2","-10","-17"
"-601","3","0.49","-0.12","1.06","-0.8","-9","14"
"-319","-13","0.53","-0.09","0.81","0.3","-8","13"
"304","-4","-0.34","-0.02","0.27","1.4","-7","3"
"300","8","-0.5","0","0.29","0.5","-7","-4"
"289","20","-0.38","0.02","0.29","-0.7","-9","1"
"207","48","0.43","0.07","0.38","-0.5","-8","-6"
"176","50","0.5","0.07","0.41","-0.2","-8","-6"
"122","52","0.57","0.01","0.45","0.4","-8","-6"
"49","54","0.53","0.1","0.55","1.1","-7","-13"
"-250","51","0.06","0.14","0.83","1.9","-6","-15"
"-469","41","-0.3","0.02","1.01","1.7","-6","-11"
"-482","28","-0.51","-0.02","0.99","1","-7","-2"
"301","13","0.23","-0.05","0.24","-0.7","-9","7"
"421","26","0.43","0","0.14","0.1","-8","4"
"441","30","0.44","-0.02","0.13","0.4","-8","3"
"469","38","0.43","0.08","0.11","0.8","-7","2"
"406","45","0.4","0.13","0.22","1.2","-7","-13"
"48","56","0","0.05","0.52","1.9","-6","-10"
"-306","44","-0.47","0.08","0.84","0.4","-8","-7"
"-399","32","-0.44","-0.06","0.88","-0.7","-9","3"
"-119","15","0.05","-0.08","0.6","-1.5","-9","11"
"28","15","0.38","0.04","0.52","-0.7","-9","-3"
"-195","10","0.22","0.07","0.74","1","-7","-7"
"-344","1","-0.02","0.09","0.88","1.2","-7","-9"
"-413","-32","-0.38","-0.09","0.87","0.3","-8","10"
"-225","-40","-0.42","-0.12","0.69","-0.4","-8","12"
"286","-16","0.35","0.06","0.29","-0.7","-9","-4"
"129","-5","0.26","0.08","0.45","0.5","-7","-8"
"-104","-4","-0.1","0.09","0.66","0.8","-7","-9"
"-242","-9","-0.29","-0.04","0.76","0.5","-8","-5"
"-186","-24","-0.18","0.01","0.69","-0.8","-9","3"
"178","-28","0.34","-0.08","0.33","-0.5","-8","10"
"320","-22","0.47","-0.08","0.2","0.2","-8","10"
"140","7","-0.39","0.12","0.45","0.8","-7","-11"
"58","8","-0.52","0.11","0.52","0.5","-8","-11"
"-143","4","-0.41","-0.06","0.66","-1.5","-9","1"
"22","0","0.26","0.09","0.53","-1.8","-10","-3"
"-90","-2","0.44","0.1","0.65","-1.3","-9","-9"
"-208","-4","0.5","0.12","0.77","-0.8","-9","-12"
"-233","-15","0.41","-0.06","0.72","0.5","-8","7"
"69","-23","-0.38","-0.03","0.46","0.6","-7","4"
"94","-22","-0.43","-0.03","0.43","0.4","-8","4"
"96","-20","-0.51","0.09","0.46","-0.3","-8","-4"
"-77","-21","0.2","0.04","0.61","-1.5","-9","-3"
"-124","-25","0.48","0.06","0.66","-0.7","-9","-4"
"-200","-30","0.49","0.07","0.73","0.3","-8","-6"
"37","-49","-0.17","-0.05","0.48","1.9","-6","5"
"129","-46","-0.3","0.04","0.42","1.4","-7","-1"
"434","-18","0.1","0.02","0.14","0.2","-8","-2"
"440","10","0.08","0.13","0.16","0.6","-7","-5"
"123","29","-0.2","0.09","0.45","0.4","-8","-9"
"57","30","-0.26","0.1","0.51","0.3","-8","-9"
"-79","25","0.21","0.01","0.59","-0.2","-8","3"
"-26","23","0.36","0","0.54","0.4","-8","3"
"-7","23","0.3","0.02","0.54","1.4","-7","-3"
"-108","21","-0.25","0.05","0.64","1.6","-6","-5"
"-103","14","-0.45","-0.13","0.56","0.6","-7","15"
"168","16","-0.3","-0.07","0.35","-0.5","-8","7"
"204","21","-0.15","0.06","0.37","-0.8","-9","-8"
"-469","9","0.37","0.09","0.98","0.3","-8","-5"
"-500","1","0.4","-0.05","0.97","0.6","-7","3"
"165","-30","-0.09","-0.1","0.34","1.7","-6","11"
"317","-24","-0.19","-0.09","0.2","1.5","-6","11"
"358","13","-0.11","0.07","0.22","0.4","-8","-6"
"-48","27","0.24","0.11","0.61","0.7","-7","-11"
"-175","25","0.31","0.11","0.73","1","-7","-12"
"-367","11","0.09","0.03","0.86","1.7","-6","-2"
"-298","-14","-0.43","-0.02","0.79","1","-7","3"
"-250","-21","-0.55","-0.02","0.74","0.3","-8","4"
"-432","-55","0.07","0.07","0.94","-1.8","-10","-4"
"-169","-85","0.62","-0.2","0.62","-0.2","-8","16"
"288","-81","0.63","-0.06","0.24","1.5","-7","8"
"206","-66","0.06","0.09","0.38","2.6","-5","-12"
"124","-63","-0.13","0.11","0.46","2.6","-5","-12"
"-31","-62","-0.44","0.12","0.6","2.2","-6","-13"
"-173","-69","-0.5","0.02","0.69","0.7","-7","1"
"103","-73","-0.17","-0.14","0.37","-0.5","-8","16"
"118","-45","0.11","-0.04","0.4","0.4","-8","6"
"198","-38","0.04","0.06","0.37","0.6","-7","-5"
"104","-30","-0.25","0.05","0.45","0.3","-8","-4"
"-218","-42","0.3","0.03","0.72","-0.7","-9","3"
"-216","-57","0.28","0.03","0.73","0.9","-7","-2"
"-351","-69","0.06","0.01","0.87","1.5","-7","-8"
"413","-48","-0.05","0.03","0.15","-0.7","-9","-1"
"419","-27","0.14","0.02","0.14","-0.6","-9","1"
"167","22","-0.19","0.09","0.41","0.1","-8","-11"
"-129","23","-0.18","0.09","0.67","-0.8","-9","-8"
"-222","-12","0.31","-0.05","0.7","-0.5","-8","7"
"-99","-17","0.38","-0.03","0.59","0.3","-8","6"
"22","-20","-0.09","-0.03","0.49","1.5","-7","3"
"28","-10","0.07","0.02","0.5","0.5","-7","-2"
"-95","-13","-0.1","0.04","0.62","0.7","-7","-3"
"-140","-17","-0.17","-0.07","0.64","0.4","-8","1"
"-87","-32","0.23","0.02","0.6","0.4","-8","-1"
"-95","-34","0.24","0.03","0.61","0.8","-7","-2"
"132","-36","-0.29","-0.02","0.39","0.4","-8","3"
"176","-29","-0.29","0.03","0.37","-0.4","-8","-3"
"-2","-20","0.21","0.01","0.51","-0.8","-9","3"
"12","-20","0.32","0.01","0.51","-0.4","-8","1"
"-171","-23","0.25","0.1","0.71","0.4","-8","-11"
"90","-46","-0.15","-0.03","0.42","0.6","-7","4"
"130","-44","-0.17","-0.03","0.39","0.4","-8","4"
"87","-13","0.23","0.03","0.45","0.9","-7","-2"
"-114","18","-0.5","0.17","1.14","-2.2","-10","-15"
"-350","10","-0.13","-0.05","1.33","-2.8","-11","-4"
"-390","-5","0.33","0.08","1.37","-2.6","-10","-3"
"-337","-13","0.52","-0.05","1.23","-2.1","-10","10"
"-215","-28","0.46","0.02","1.13","0","-8","1"
"-209","-31","0.4","0.02","1.12","0.3","-8","0"
"103","-31","-0.09","0.03","0.77","1.3","-7","-4"
"-5","-29","-0.34","0.09","0.9","0.8","-7","-7"
"-82","-30","-0.47","0.1","0.98","0.3","-8","-8"
"246","1","0.34","0.02","0.54","-1.6","-9","2"
"-146","14","0.13","0.12","0.99","0.5","-7","-11"
"-286","4","-0.1","-0.08","1.05","0.6","-7","4"
"-33","1","0.14","0.09","0.82","0","-8","-7"
"-129","-2","0.19","0.02","0.91","0.3","-8","-8"
"-141","-4","0.2","-0.17","0.87","0.4","-8","3"
"38","-5","0.2","-0.15","0.63","0.7","-7","15"
"136","7","0.03","0.09","0.63","1.1","-7","-7"
"-38","7","-0.26","0.01","0.75","0.7","-7","3"
"-64","15","0.12","0.11","0.81","-0.6","-8","-10"
"-56","9","0.2","-0.05","0.73","0","-8","5"
"31","10","0.1","0.02","0.67","0.5","-8","-4"
"-30","10","-0.1","0.06","0.73","0.5","-7","-5"
"18","-6","0.26","0.02","0.64","0.9","-7","1"
"7","-5","0.08","0.03","0.66","1.6","-6","-2"
"44","-4","-0.27","-0.02","0.6","1.3","-7","2"
"131","4","-0.28","0.03","0.53","-0.4","-8","-4"
"18","12","0.25","0.05","0.63","-0.5","-8","-4"
"-17","12","0.33","0.06","0.66","-0.2","-8","-4"
"-25","11","0.29","0.05","0.66","0.4","-8","-1"
"-73","9","-0.19","-0.11","0.65","0.6","-7","9"
"214","15","-0.15","0.03","0.42","-0.9","-9","-1"
"150","26","0.28","0.08","0.49","-0.7","-9","-6"
"14","29","0.4","0.16","0.64","0.2","-8","-11"
"-35","29","0.35","0.14","0.7","0.4","-8","-14"
"-108","28","0.28","0.12","0.76","0.6","-7","-13"
"-91","20","-0.27","-0.03","0.67","0.6","-7","4"
"-31","18","-0.45","-0.03","0.61","0.1","-8","4"
"225","28","0.35","-0.02","0.37","-0.4","-8","3"
"245","31","0.41","-0.01","0.35","-0.1","-8","3"
"249","37","0.49","0.02","0.38","0.6","-7","-7"
"221","42","0.32","0.07","0.4","1.2","-7","-6"
"129","47","-0.05","0.14","0.5","1.4","-7","-8"
"-81","47","-0.47","0.07","0.68","0.7","-7","-6"
"-120","46","-0.55","0.07","0.72","0.3","-8","-6"
"-149","44","-0.6","0.06","0.74","-0.1","-8","-6"
"-171","28","0.51","0.08","0.76","-0.7","-9","-5"
"-224","25","0.63","0.07","0.81","-0.1","-8","-6"
"-290","21","0.64","0.13","0.89","0.6","-7","-10"
"-318","12","0.4","-0.03","0.84","1.5","-6","8"
"-134","4","-0.07","-0.06","0.67","1.9","-6","8"
"-88","3","-0.23","-0.08","0.62","1.8","-6","8"
"82","3","-0.59","-0.02","0.47","0.9","-7","8"
"-2","8","-0.3","0.06","0.58","-1.4","-9","-4"
"-54","6","0.08","0.05","0.62","-1.7","-10","-2"
"-16","4","0.4","-0.04","0.54","-1","-9","11"
"122","5","0.45","0.07","0.43","-0.2","-8","6"
"149","8","0.34","-0.02","0.4","0.4","-8","6"
"172","10","0.27","0","0.39","0.6","-7","2"
"-23","18","-0.19","0.16","0.64","0.8","-7","-16"
"-284","14","-0.35","0.16","0.88","0.3","-8","-17"
"66","-2","0.13","-0.06","0.43","-0.3","-8","17"
"301","10","0.34","0.05","0.26","0.7","-7","4"
"258","20","0.28","0.18","0.35","1.4","-7","-8"
"24","26","-0.15","0.07","0.55","1.6","-6","-8"
"-42","23","-0.46","0.01","0.57","0.2","-8","2"
"-27","22","-0.46","0.01","0.56","-0.3","-8","2"
"-191","-7","0.3","-0.02","0.7","-1.1","-9","4"
"-166","-9","0.35","-0.01","0.68","-0.9","-9","4"
"-63","-14","0.49","-0.02","0.58","0.4","-8","2"
"-31","-15","0.48","-0.01","0.55","1.1","-7","2"
"71","-15","-0.18","-0.03","0.45","1.9","-6","4"
"93","-14","-0.26","-0.03","0.43","1.7","-6","4"
"36","-7","-0.34","0.11","0.54","0.5","-8","-13"
"-94","-15","0.18","-0.02","0.6","-0.1","-8","4"
"-53","-17","0.31","-0.02","0.56","0.3","-8","3"
"-31","-18","0.36","0.02","0.55","0.6","-7","1"
"15","-19","0.19","-0.02","0.5","1.5","-7","3"
"149","-16","-0.1","-0.05","0.36","1.6","-6","8"
"278","-5","-0.3","0","0.28","1","-7","-3"
"-139","6","0.13","0.12","0.69","0.5","-8","-12"
"-250","2","0.26","0.02","0.76","0.7","-7","-4"
"-28","-14","-0.26","-0.06","0.52","0.9","-7","8"
"96","-13","-0.41","-0.07","0.4","0.4","-8","8"
"90","-8","-0.32","0.11","0.47","-0.5","-8","-9"
"-181","-13","0.37","0.07","0.7","-0.5","-8","-5"
"-216","-16","0.46","0.06","0.73","-0.2","-8","-5"
"-262","-20","0.52","0.01","0.77","0.4","-8","-6"
"-56","-37","-0.25","-0.1","0.53","1.2","-7","11"
"39","-37","-0.39","-0.1","0.44","1","-7","12"
"218","-27","-0.35","0.02","0.32","-0.7","-9","1"
"89","-13","0.32","0.07","0.46","-0.8","-9","-5"
"-21","-13","0.41","0.02","0.53","0.8","-7","4"
"219","-7","-0.04","0.13","0.32","1.6","-6","2"
"138","-3","-0.26","0.08","0.42","1.4","-7","-6"
"29","0","-0.54","0.06","0.52","0.8","-7","-7"
"0","0","-0.52","0.04","0.52","0.2","-8","-2"
"105","-29","-0.24","0.18","1.86","-0.3","-14","-4"
"23","-26","-0.05","0.24","1.99","-0.6","-14","-7"
"-167","-30","0.1","0.07","2.18","-0.7","-15","-2"
"-162","-32","0.19","0.14","2.14","-0.6","-14","1"
"-126","-37","0.35","0.01","1.98","-0.1","-14","8"
"-136","-40","0.06","0.11","2.12","0.3","-14","-7"
"60","-40","0.05","0.15","1.67","-0.3","-14","-3"
"11","-39","0.06","0.07","1.7","-0.2","-14","-2"
"39","-38","-0.03","0.13","1.61","-0.1","-14","0"
"378","-24","-0.19","0.03","1","-0.8","-15","8"
"399","-17","-0.21","0.24","1.07","-1","-15","-5"
"131","1","-0.09","0.29","1.44","-1.7","-16","-10"
"-50","2","0.06","0.28","1.68","-1.8","-16","-12"
"-152","0","0.2","0.3","1.8","-1.7","-16","-11"
"-355","-13","0.36","0.21","2","-0.8","-15","-6"
"-177","-36","0.28","-0.06","1.58","0.4","-14","12"
"60","-38","0.13","-0.02","1.26","0.9","-13","10"
"220","-29","-0.19","0.11","1.12","0.6","-13","-4"
"203","-25","-0.23","0.14","1.13","0.4","-14","-3"
"82","-16","-0.15","0.18","1.27","-0.5","-14","-5"
"65","-15","-0.12","-0.04","1.24","-0.6","-14","0"
"203","-7","0.18","0.09","1.02","-0.6","-15","4"
"95","1","0.31","0.25","1.25","0.1","-14","-13"
"-105","1","0.2","0.27","1.5","0.5","-14","-14"
"-214","-24","-0.42","0.04","1.48","0.4","-14","0"
"-130","-28","-0.51","-0.03","1.29","-0.2","-14","12"
"45","-28","0.07","0.13","1.13","-1.6","-15","0"
"16","-27","0.28","0.18","1.17","-1.1","-15","-5"
"19","-28","0.27","0.02","1.04","-0.3","-14","11"
"280","-14","-0.1","0.07","0.75","0.3","-14","3"
"266","7","-0.19","0.16","0.79","-0.6","-14","-4"
"339","23","0.18","0.04","0.63","-0.8","-15","5"
"407","30","0.32","0.06","0.54","-0.5","-14","5"
"110","39","0.38","0.43","1.14","0.2","-14","-38"
"-542","19","-0.31","0.12","1.66","0.2","-14","-4"
"-514","3","-0.47","0.04","1.58","-0.6","-15","2"
"-285","-19","0.29","0.03","1.27","-0.9","-15","8"
"-165","-28","0.45","0.12","1.19","0.6","-13","-5"
"-120","-40","0.11","0.03","1.08","1.3","-13","3"
"-78","-43","0.08","0.05","1.03","1.5","-13","2"
"-73","-43","0.07","0.06","1.02","1.5","-13","2"
"2","-45","-0.19","-0.18","0.84","1.4","-13","16"
"254","-34","-0.28","0.09","0.65","0.3","-14","1"
"58","-20","-0.13","0.2","0.9","-0.5","-14","-9"
"-63","-20","-0.09","0.21","1.03","-0.7","-15","-10"
"-134","-27","0.24","0.03","0.98","-0.5","-14","12"
"69","-23","-0.22","0.09","0.8","0.8","-13","-2"
"56","-21","-0.32","0.1","0.81","0.5","-13","-2"
"45","-19","-0.24","0.11","0.81","-0.6","-14","-1"
"13","-16","0.24","0.12","0.83","-0.7","-15","-3"
"-9","-16","0.27","0.09","0.83","0.4","-14","-1"
"-20","-17","0.2","0.1","0.84","0.8","-13","-2"
"-9","-18","-0.18","0.03","0.78","0.8","-13","8"
"146","-14","-0.31","0.06","0.63","-0.4","-14","4"
"121","1","0.18","0.13","0.67","-0.8","-15","-4"
"17","4","0.25","0.2","0.81","-0.2","-14","-10"
"-171","1","0.12","0.04","0.96","0.2","-14","-6"
"-152","-3","0.28","0.1","0.92","0.4","-14","1"
"40","-4","-0.18","0.15","0.77","1.4","-13","-12"
"-222","-8","-0.35","0.18","1.02","0.4","-14","-11"
"-36","-15","-0.08","-0.08","0.71","-0.2","-14","14"
"21","-2","0.06","0.18","0.75","0.5","-14","-10"
"-35","-2","0.03","0.17","0.81","0.5","-13","-10"
"-110","-3","0","0.18","0.88","0.5","-13","-10"
"-191","-5","-0.1","0.07","0.96","0.5","-14","-12"
"-126","-19","-0.08","0.04","0.81","-0.9","-15","6"
"-87","-20","0.07","0.04","0.78","-0.9","-15","6"
"-27","-21","0.27","0.06","0.72","-0.7","-15","6"
"-8","-21","0.25","0.17","0.72","-0.3","-14","1"
"-72","-21","0.18","0.14","0.82","-0.1","-14","-9"
"23","-24","0.24","0.01","0.65","0.4","-14","8"
"-150","-22","-0.01","0.17","0.89","1.3","-13","-11"
"-298","-31","-0.09","-0.06","0.94","1.1","-13","8"
"68","-43","-0.37","-0.03","0.57","0.7","-13","10"
"220","-27","-0.31","0.35","0.56","-1.4","-15","-19"
"17","-24","-0.21","0.27","0.73","-1.7","-16","-15"
"-188","-29","0.28","-0.02","0.81","-1.8","-16","9"
"-140","-31","0.4","0.12","0.79","-1.6","-15","5"
"173","-34","0.57","-0.11","0.41","0.3","-14","19"
"287","-32","0.55","-0.15","0.29","0.6","-13","20"
"93","-10","-0.08","0.19","0.62","1.9","-12","-14"
"-12","-9","-0.23","0.19","0.72","1.8","-12","-14"
"-2","-14","-0.25","-0.04","0.61","0.7","-13","10"
"-68","-11","0.03","0.19","0.76","0.4","-14","-11"
"-191","-13","0.07","0.18","0.87","0.5","-14","-11"
"-366","-24","-0.09","0.12","1","0.5","-13","0"
"-429","-38","-0.33","0.15","1.07","0","-14","-5"
"-346","-60","0.15","-0.02","0.91","-0.3","-14","14"
"67","-65","0.41","-0.1","0.5","0.4","-14","17"
"516","-51","0.37","-0.09","0.08","1.6","-12","14"
"584","-37","0.25","0.01","0.06","2.1","-12","1"
"118","-5","-0.46","0.19","0.56","1.7","-12","-14"
"-78","-5","-0.62","0.07","0.72","0.8","-13","-10"
"110","-6","0.55","0.12","0.52","-0.4","-14","-3"
"65","-4","0.65","0.11","0.56","0.6","-13","-5"
"-13","-3","0.54","0.13","0.65","1.3","-13","-9"
"-175","-10","-0.44","0.09","0.76","1.8","-12","2"
"-111","-26","-0.02","-0.04","0.64","-2.2","-16","16"
"91","-26","0.46","0.08","0.48","-1.8","-16","12"
"-57","-22","0.18","0.19","0.7","-0.5","-14","-13"
"-180","-24","-0.07","0.21","0.82","-0.4","-14","-14"
"-276","-30","-0.36","0.15","0.85","-0.8","-15","3"
"-312","-48","0.25","0.06","0.88","-1.2","-15","3"
"-209","-52","0.42","-0.17","0.68","-0.9","-15","24"
"69","-52","0.25","0.18","0.55","0.3","-14","-4"
"297","-47","0.09","-0.08","0.25","-0.3","-14","15"
"328","-46","0.12","-0.09","0.22","-0.3","-14","16"
"378","-26","0.36","0.17","0.27","0.5","-13","-8"
"-71","-14","0.11","0.2","0.7","1.7","-12","-15"
"-211","-25","-0.19","-0.09","0.69","1.5","-12","20"
"540","-12","-0.09","0.07","0.05","0.8","-13","8"
"597","-3","-0.03","0","-0.02","0.8","-13","7"
"142","18","-0.15","0.45","0.59","0.7","-13","-35"
"70","19","-0.18","0.43","0.66","0.7","-13","-37"
"-560","4","-0.46","0.09","1.12","-0.3","-14","-9"
"-305","-21","-0.28","-0.08","0.76","-1.6","-16","24"
"54","-24","0.17","-0.22","0.41","-1.7","-16","26"
"514","-16","0.61","-0.03","-0.01","-1.1","-15","27"
"116","3","0.43","0.34","0.61","0.8","-13","-40"
"-242","2","-0.03","0.35","0.9","1","-13","-28"
